Station code,Name of the Monitoring Location,State Name,Temperature 0 C_min,Temperature 0 C_max,Dissolved Oxygen mg L_min,Dissolved Oxygen mg L_MAX,pH6.5 MIN,pH6.5 MAX,Conductivity µmho cm MIN,conductivity µmho cm MAX,Bio-chemical Oxygen Demand mg L,Bio-chemical Oxygen Demand mg L MAX,Nitrate mg L MIN,Nitrate mgL MAX,Fecal Coliform MIN,Fecacal coliform MAX,Total Coliform MPN 100 mL MIN,Total Coliform MPN 100 mL2 MAX,Year,aquatic_score,water_type,pH_category
1380,"RIVER SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,10.0,22.0,8.4,10.8,7.5,8.4,217.0,270.0,2.6251969852689276,5.892971727105102,1.4,1.7,20.0,100.0,170.0,380.0,2022,3,Good,Neutral (6.5–8.5)
10020,RIVER           SUTLEJ           AT ANANDPUR SAHIB,PUNJAB,12.0,27.0,7.8,10.0,7.4,8.5,235.0,388.0,2.6251969852689276,5.892971727105102,1.3,2.1,78.0,210.0,330.0,580.0,2022,3,Good,Neutral (6.5–8.5)
10021,RIVER  SUTLEJ  AT  BUNGA SAHIB,PUNJAB,10.0,28.005412521942656,5.7971657600916116,11.1,7.4,8.4,217.0,277.0,2.6251969852689276,5.892971727105102,1.3,1.7,130.0,260.0,460.0,790.0,2022,3,Good,Neutral (6.5–8.5)
10022,RIVER           SUTLEJ           AT PHILLAUR U/S,PUNJAB,13.0,32.0,5.6,8.0,7.2,8.3,238.0,522.0,1.6,4.0,0.7343646138807429,1.4,260.0,2200.0,700.0,4900.0,2022,2,Moderate,Neutral (6.5–8.5)
10023,RIVER           SUTLEJ           AT PHAGWARA                      U/S (CHAHERU BRIDGE),PUNJAB,10.0,33.0,2.9,5.8,7.2,8.3,610.0,858.0,8.0,17.0,0.4,2.1,320.0,2100.0,1500.0,6300.0,2022,1,Polluted,Neutral (6.5–8.5)
10024,"RIVER           SUTLEJ           AT PHAGWARA                      D/S
(KANGANIWAL BRIDGE)",PUNJAB,10.0,36.0,1.0,1.4,7.1,8.4,574.0,1265.0,11.0,26.0,0.4,2.4,2100.0,7800.0,6300.0,21000.0,2022,1,Polluted,Neutral (6.5–8.5)
10027,RIVER           SUTLEJ           AT LUDHIANA U/S,PUNJAB,12.0,29.0,7.1,9.2,7.8,8.5,258.0,336.0,1.2,1.2,1.3,2.4,330.0,1400.0,940.0,3400.0,2022,3,Good,Neutral (6.5–8.5)
10028,RIVER           SUTLEJ           AT LUDHIANA D/S,PUNJAB,11.0,31.0,1.0,7.0,7.2,8.0,294.0,1150.0,1.6,39.0,1.4,3.1,33000.0,94402.99494284726,94000.0,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
1017,"RIVER   SUTLEJ   AT   100M
U/S       OF      HEADWORKS, NANGAL",PUNJAB,9.0,21.0,7.2,9.1,7.7,8.2,200.0,241.0,2.6251969852689276,5.892971727105102,1.2,1.8,18.0,130.0,110.0,270.0,2022,3,Good,Neutral (6.5–8.5)
1018,"RIVER   SUTLEJ   AT   100M D/S , NANGAL",PUNJAB,10.0,26.0,7.6,10.5,7.5,8.5,221.0,307.0,2.6251969852689276,5.892971727105102,1.2,1.7,11.0,110.0,170.0,470.0,2022,3,Good,Neutral (6.5–8.5)
1293,"RIVER   SUTLEJ   AT   1   KM.
D/S OF ZENITH, PUNJAB",PUNJAB,10.0,26.0,7.3,9.4,7.6,8.3,229.0,478.0,2.6251969852689276,5.892971727105102,1.2,1.8,320.0,1300.0,840.0,3400.0,2022,2,Moderate,Neutral (6.5–8.5)
1019,RIVER     SUTLEJ     AT     U/S HEAD WORKS ROPAR,PUNJAB,9.0,27.0,7.3,9.6,7.4,8.5,238.0,347.0,2.6251969852689276,5.892971727105102,1.3,1.9,250.0,930.0,580.0,3400.0,2022,2,Moderate,Neutral (6.5–8.5)
